iter	F1	Logloss
96	0.642613489	0.653709205
97	0.6427822597	0.6535385854
98	0.6426935155	0.6533730175
99	0.6428972704	0.653215703
100	0.6429273106	0.6530715515
101	0.6430082065	0.652917012
102	0.64301925	0.6527748527
103	0.6430713651	0.6526267167
104	0.6434215945	0.6524373845
105	0.6435393355	0.6523103803
106	0.6435374004	0.6521722766
107	0.643526516	0.6520264174
108	0.643450338	0.6518837601
109	0.6434102037	0.6517578232
110	0.6434009008	0.651628471
111	0.6435105572	0.6514971978
112	0.6436731277	0.6513753165
113	0.6437543862	0.6512622579
114	0.6438529893	0.6511400919
115	0.6440641615	0.6510209144
116	0.6441386854	0.6509017368
117	0.6441570809	0.6507927337
118	0.6441966364	0.6506856518
119	0.6441519539	0.6505614936
120	0.6443644071	0.6504430987
121	0.6443126671	0.6503259133
122	0.6442426141	0.650210151
123	0.6447801296	0.6498556777
124	0.6446518737	0.6497433306
125	0.6447329729	0.6496361064
126	0.6447352319	0.6495222651
127	0.6449576991	0.6492802812
128	0.6449919068	0.6491765433
129	0.6449080218	0.649071169
130	0.644841044	0.6489793845
131	0.6449835283	0.6488755755
132	0.6450990835	0.6487714818
133	0.6449601082	0.6486579252
134	0.6451865055	0.6485674925
135	0.6450750994	0.6484671699
136	0.6450789613	0.6483839234
137	0.6451715443	0.6482939888
138	0.644978741	0.6481958719
139	0.6449911673	0.6481117716
140	0.6450831137	0.6480263195
141	0.6451574102	0.6479237912
142	0.6450986458	0.6478345681
143	0.6452114588	0.6477411471
144	0.6452257334	0.6476502876
145	0.6453754003	0.6475727332
146	0.6453934978	0.6474736913
147	0.6454956705	0.6473824048
148	0.6454839014	0.6472979488
149	0.6455864958	0.6472047413
150	0.6455763062	0.6471330213
151	0.6456567148	0.6470546131
152	0.6455845154	0.6469668841
153	0.6457056367	0.6468797244
154	0.6458021167	0.6467960511
155	0.6457809903	0.6467213427
156	0.6457305482	0.6466279217
157	0.6457044408	0.6465591189
158	0.6457664223	0.6464755879
159	0.6458895885	0.6463629562
160	0.6460033678	0.6462919477
161	0.6460560507	0.646185933
162	0.6462043937	0.6461125765
163	0.6466455375	0.6458057743
164	0.6466416676	0.6457406713
165	0.646685983	0.6456675994
166	0.6467413597	0.6455921796
167	0.6467880256	0.6455201038
168	0.6469188716	0.6454365728
169	0.6470022416	0.6453428672
170	0.6470382385	0.6452655262
171	0.6470458132	0.6451940197
172	0.6471697222	0.6451282764
173	0.6472430634	0.6450614658
174	0.6473195409	0.6449888208
175	0.6472165511	0.644912974
176	0.6473778997	0.6448460923
177	0.647411154	0.6447801355
178	0.6473696301	0.6446855049
179	0.6475283147	0.6446250979
180	0.6476340132	0.6445158814
181	0.6477292487	0.6444353387
182	0.6476940914	0.6443683147
183	0.6478754715	0.6442830049
184	0.6478465592	0.6442247324
185	0.6479929233	0.6440323406
186	0.6480428452	0.6439731431
187	0.6482536792	0.6439010674
188	0.6486024608	0.6436223697
189	0.6486435423	0.643567299
190	0.6487500751	0.643478147
191	0.6487544927	0.643423859
192	0.6489760513	0.643265833
193	0.64900904	0.643193615
194	0.6492409439	0.6430212877
195	0.6493025733	0.6429513465
196	0.6493798162	0.6429003314
197	0.649345462	0.6428217809
198	0.6493221999	0.6427676352
199	0.6497186789	0.6424987563
200	0.6498218822	0.6424110273
201	0.6498139124	0.642343861
202	0.6498547102	0.6422955496
203	0.6499037949	0.6422485901
204	0.6499400935	0.642200919
205	0.6499408477	0.6421439984
206	0.6500286652	0.6420974658
207	0.6499996779	0.6420492255
208	0.6500036507	0.6420002026
209	0.6503469024	0.6417522421
210	0.6502691988	0.641681874
211	0.6503790238	0.6416329222
212	0.650304034	0.6415858204
213	0.6504871469	0.6413451172
214	0.6505779316	0.6412684878
215	0.650809571	0.6411145886
216	0.6508507924	0.6410650677
217	0.6511643892	0.6408162533
218	0.6511750794	0.6407630325
219	0.6512181447	0.6407032659
220	0.6512961738	0.6406538872
221	0.6515650476	0.6405106607
222	0.6515186017	0.6404466961
223	0.6515489078	0.6404010884
224	0.651570954	0.6403519232
